人民幣	人民幣 ￥ 💴
博茨瓦納共和國	博茨瓦納共和國 🇧🇼
白俄羅斯	白俄羅斯 🇧🇾
白俄	白俄 🇧🇾
伯利茲	伯利茲 🇧🇿
加拿大	加拿大 🇨🇦
科科斯（基林）羣島	科科斯（基林）羣島 🇨🇨
科科斯	科科斯 🇨🇨
剛果（金）	剛果（金） 🇨🇩
剛果	剛果 🇨🇩 🇨🇬
剛果金	剛果金 🇨🇩
中非共和國	中非共和國 🇨🇫
中非	中非 🇨🇫
剛果（布）	剛果（布） 🇨🇬
剛果布	剛果布 🇨🇬
瑞士	瑞士 🇨🇭
瑞士聯邦	瑞士聯邦 🇨🇭
科特迪瓦	科特迪瓦 🇨🇮
科特迪瓦共和國	科特迪瓦共和國 🇨🇮
庫克羣島	庫克羣島 🇨🇰
智利	智利 🇨🇱
智利共和國	智利共和國 🇨🇱
喀麥隆	喀麥隆 🇨🇲
喀麥隆共和國	喀麥隆共和國 🇨🇲
中國	中國 🇨🇳
中華人民共和國	中華人民共和國 🇨🇳
五星紅旗	五星紅旗 🇨🇳
紅旗	紅旗 🇨🇳 🚩
哥倫比亞	哥倫比亞 🇨🇴
哥倫比亞共和國	哥倫比亞共和國 🇨🇴
克利珀頓島	克利珀頓島 🇨🇵
哥斯達黎加	哥斯達黎加 🇨🇷
哥斯達黎加共和國	哥斯達黎加共和國 🇨🇷
古巴	古巴 🇨🇺
古巴共和國	古巴共和國 🇨🇺
佛得角	佛得角 🇨🇻
佛得角共和國	佛得角共和國 🇨🇻
庫拉索	庫拉索 🇨🇼
聖誕島	聖誕島 🇨🇽
塞浦路斯	塞浦路斯 🇨🇾
塞浦路斯共和國	塞浦路斯共和國 🇨🇾
捷克	捷克 🇨🇿
捷克共和國	捷克共和國 🇨🇿
德國	德國 🇩🇪
德意志	德意志 🇩🇪
德意志聯邦共和國	德意志聯邦共和國 🇩🇪
德意志聯邦	德意志聯邦 🇩🇪
迪戈加西亞島	迪戈加西亞島 🇩🇬
吉布提	吉布提 🇩🇯
吉布提共和國	吉布提共和國 🇩🇯
丹麥	丹麥 🇩🇰
多米尼克	多米尼克 🇩🇲
多米尼克國	多米尼克國 🇩🇲
多米尼加共和國	多米尼加共和國 🇩🇴
阿爾及利亞	阿爾及利亞 🇩🇿
阿爾及利亞民主人民共和國	阿爾及利亞民主人民共和國 🇩🇿
休達及梅利利亞	休達及梅利利亞 🇪🇦
休達和梅利利亞	休達和梅利利亞 🇪🇦
休達	休達 🇪🇦
梅利利亞	梅利利亞 🇪🇦
厄瓜多爾	厄瓜多爾 🇪🇨
厄瓜多爾共和國	厄瓜多爾共和國 🇪🇨
愛沙尼亞	愛沙尼亞 🇪🇪
愛沙尼亞共和國	愛沙尼亞共和國 🇪🇪
埃及	埃及 🇪🇬
西撒哈拉	西撒哈拉 🇪🇭
厄立特里亞	厄立特里亞 🇪🇷
厄立特里亞國	厄立特里亞國 🇪🇷
西班牙	西班牙 🇪🇸
西班牙王國	西班牙王國 🇪🇸
埃塞俄比亞	埃塞俄比亞 🇪🇹
埃塞俄比亞聯邦民主共和國	埃塞俄比亞聯邦民主共和國 🇪🇹
歐盟	歐盟 🇪🇺
歐洲聯盟	歐洲聯盟 🇪🇺
芬蘭	芬蘭 🇫🇮
芬蘭共和國	芬蘭共和國 🇫🇮
斐濟	斐濟 🇫🇯
斐濟共和國	斐濟共和國 🇫🇯
福克蘭羣島	福克蘭羣島 🇫🇰
馬爾維納斯羣島	馬爾維納斯羣島 🇫🇰
密克羅尼西亞	密克羅尼西亞 🇫🇲
法羅羣島	法羅羣島 🇫🇴
法國	法國 🇫🇷
法蘭西	法蘭西 🇫🇷 ⚜ ⚜️
法蘭西共和國	法蘭西共和國 🇫🇷
加蓬	加蓬 🇬🇦
英國	英國 🇬🇧
英倫	英倫 🇬🇧
大不列顛及北愛爾蘭聯合王國	大不列顛及北愛爾蘭聯合王國 🇬🇧
格林納達	格林納達 🇬🇩
格魯吉亞	格魯吉亞 🇬🇪
法屬圭亞那	法屬圭亞那 🇬🇫
根西島	根西島 🇬🇬
加納	加納 🇬🇭
加納共和國	加納共和國 🇬🇭
直布羅陀	直布羅陀 🇬🇮
格陵蘭	格陵蘭 🇬🇱
岡比亞	岡比亞 🇬🇲
岡比亞共和國	岡比亞共和國 🇬🇲
幾內亞	幾內亞 🇬🇳
幾內亞共和國	幾內亞共和國 🇬🇳
瓜德羅普	瓜德羅普 🇬🇵
赤道幾內亞	赤道幾內亞 🇬🇶
希臘	希臘 🇬🇷
希臘共和國	希臘共和國 🇬🇷
南喬治亞和南桑威奇羣島	南喬治亞和南桑威奇羣島 🇬🇸
危地馬拉	危地馬拉 🇬🇹
關島	關島 🇬🇺
幾內亞比紹	幾內亞比紹 🇬🇼
幾內亞比紹共和國	幾內亞比紹共和國 🇬🇼
圭亞那	圭亞那 🇬🇾
圭亞那合作共和國	圭亞那合作共和國 🇬🇾
中國香港特別行政區	中國香港特別行政區 🇭🇰
中國香港	中國香港 🇭🇰
香港	香港 🇭🇰
香港特別行政區	香港特別行政區 🇭🇰
赫德島和麥克唐納羣島	赫德島和麥克唐納羣島 🇭🇲
洪都拉斯	洪都拉斯 🇭🇳
洪都拉斯共和國	洪都拉斯共和國 🇭🇳
克羅地亞	克羅地亞 🇭🇷
克羅地亞共和國	克羅地亞共和國 🇭🇷
海地	海地 🇭🇹
海地共和國	海地共和國 🇭🇹
匈牙利	匈牙利 🇭🇺
加納利羣島	加納利羣島 🇮🇨
印度尼西亞	印度尼西亞 🇮🇩
印度尼西亞共和國	印度尼西亞共和國 🇮🇩
愛爾蘭	愛爾蘭 🇮🇪
愛爾蘭共和國	愛爾蘭共和國 🇮🇪
以色列	以色列 🇮🇱
以色列國	以色列國 🇮🇱
馬恩島	馬恩島 🇮🇲
印度	印度 🇮🇳
印度共和國	印度共和國 🇮🇳
英屬印度洋領地	英屬印度洋領地 🇮🇴
伊拉克	伊拉克 🇮🇶
伊拉克共和國	伊拉克共和國 🇮🇶
伊朗	伊朗 🇮🇷
伊朗伊斯蘭共和國	伊朗伊斯蘭共和國 🇮🇷
冰島	冰島 🇮🇸
意大利	意大利 🇮🇹
意大利共和國	意大利共和國 🇮🇹
澤西島	澤西島 🇯🇪
澤西	澤西 🇯🇪
牙買加	牙買加 🇯🇲
約旦	約旦 🇯🇴
約旦哈希姆王國	約旦哈希姆王國 🇯🇴
日本	日本 🇯🇵 🗾 🎌 ㍻ ㍼ ㍽ ㍾ ㍿
日本國	日本國 🇯🇵
肯尼亞	肯尼亞 🇰🇪
肯尼亞共和國	肯尼亞共和國 🇰🇪
吉爾吉斯斯坦	吉爾吉斯斯坦 🇰🇬
吉爾吉斯共和國	吉爾吉斯共和國 🇰🇬
柬埔寨	柬埔寨 🇰🇭
柬埔寨王國	柬埔寨王國 🇰🇭
基里巴斯	基里巴斯 🇰🇮
基裏巴斯共和國	基裏巴斯共和國 🇰🇮
科摩羅	科摩羅 🇰🇲
科摩羅聯盟	科摩羅聯盟 🇰🇲
聖基茨和尼維斯	聖基茨和尼維斯 🇰🇳
朝鮮	朝鮮 🇰🇵
北朝鮮	北朝鮮 🇰🇵
北韓	北韓 🇰🇵
韓國	韓國 🇰🇷
南朝鮮	南朝鮮 🇰🇷
南韓	南韓 🇰🇷
科威特	科威特 🇰🇼
科威特國	科威特國 🇰🇼
開曼羣島	開曼羣島 🇰🇾
哈薩克斯坦	哈薩克斯坦 🇰🇿
哈薩克斯坦共和國	哈薩克斯坦共和國 🇰🇿
老撾	老撾 🇱🇦
老撾人民民主共和國	老撾人民民主共和國 🇱🇦
黎巴嫩	黎巴嫩 🇱🇧
黎巴嫩共和國	黎巴嫩共和國 🇱🇧
聖盧西亞	聖盧西亞 🇱🇨
列支敦士登	列支敦士登 🇱🇮
列支敦士登公國	列支敦士登公國 🇱🇮
斯里蘭卡	斯里蘭卡 🇱🇰
斯里蘭卡民主社會主義共和國	斯里蘭卡民主社會主義共和國 🇱🇰
利比里亞	利比里亞 🇱🇷
利比里亞共和國	利比里亞共和國 🇱🇷
萊索托	萊索托 🇱🇸
萊索托王國	萊索托王國 🇱🇸
立陶宛	立陶宛 🇱🇹
立陶宛共和國	立陶宛共和國 🇱🇹
盧森堡	盧森堡 🇱🇺
盧森堡大公國	盧森堡大公國 🇱🇺
拉脫維亞	拉脫維亞 🇱🇻
拉脫維亞共和國	拉脫維亞共和國 🇱🇻
利比亞	利比亞 🇱🇾
利比亞國	利比亞國 🇱🇾
摩洛哥	摩洛哥 🇲🇦
摩洛哥王國	摩洛哥王國 🇲🇦
摩納哥	摩納哥 🇲🇨
摩納哥公國	摩納哥公國 🇲🇨
摩爾多瓦	摩爾多瓦 🇲🇩 🇦🇩
摩爾多瓦共和國	摩爾多瓦共和國 🇲🇩
黑山	黑山 🇲🇪
法屬聖馬丁	法屬聖馬丁 🇲🇫
馬達加斯加	馬達加斯加 🇲🇬
馬達加斯加共和國	馬達加斯加共和國 🇲🇬
馬紹爾羣島	馬紹爾羣島 🇲🇭
北馬其頓	北馬其頓 🇲🇰
北馬其頓共和國	北馬其頓共和國 🇲🇰
馬裏	馬裏 🇲🇱
馬裏共和國	馬裏共和國 🇲🇱
緬甸	緬甸 🇲🇲
緬甸聯邦	緬甸聯邦 🇲🇲
緬甸聯邦共和國	緬甸聯邦共和國 🇲🇲
蒙古	蒙古 🇲🇳
蒙古國	蒙古國 🇲🇳
中國澳門特別行政區	中國澳門特別行政區 🇲🇴
中國澳門	中國澳門 🇲🇴
澳門	澳門 🇲🇴
澳門特別行政區	澳門特別行政區 🇲🇴
北马里亞納羣島	北马里亞納羣島 🇲🇵
馬提尼克	馬提尼克 🇲🇶
毛里塔尼亞	毛里塔尼亞 🇲🇷
毛里塔尼亞伊斯蘭共和國	毛里塔尼亞伊斯蘭共和國 🇲🇷
蒙特塞拉特	蒙特塞拉特 🇲🇸
馬耳他	馬耳他 🇲🇹
馬耳他共和國	馬耳他共和國 🇲🇹
毛里求斯	毛里求斯 🇲🇺
毛里求斯共和國	毛里求斯共和國 🇲🇺
馬爾代夫	馬爾代夫 🇲🇻
馬爾代夫共和國	馬爾代夫共和國 🇲🇻
馬拉維	馬拉維 🇲🇼
馬拉維共和國	馬拉維共和國 🇲🇼
墨西哥	墨西哥 🇲🇽
墨西哥合衆國	墨西哥合衆國 🇲🇽
馬來西亞	馬來西亞 🇲🇾
莫桑比克	莫桑比克 🇲🇿
莫桑比克共和國	莫桑比克共和國 🇲🇿
納米比亞	納米比亞 🇳🇦
納米比亞共和國	納米比亞共和國 🇳🇦
新喀里多尼亞	新喀里多尼亞 🇳🇨
尼日爾	尼日爾 🇳🇪
尼日爾共和國	尼日爾共和國 🇳🇪
諾福克島	諾福克島 🇳🇫
尼日利亞	尼日利亞 🇳🇬
尼日利亞聯邦	尼日利亞聯邦 🇳🇬
尼日利亞聯邦共和國	尼日利亞聯邦共和國 🇳🇬
尼加拉瓜	尼加拉瓜 🇳🇮
尼加拉瓜共和國	尼加拉瓜共和國 🇳🇮
荷蘭	荷蘭 🇳🇱
尼德蘭	尼德蘭 🇳🇱
挪威	挪威 🇳🇴
挪威王國	挪威王國 🇳🇴
尼泊爾	尼泊爾 🇳🇵
瑙魯	瑙魯 🇳🇷
瑙魯共和國	瑙魯共和國 🇳🇷
紐埃	紐埃 🇳🇺
新西蘭	新西蘭 🇳🇿
阿曼	阿曼 🇴🇲
阿曼蘇丹國	阿曼蘇丹國 🇴🇲
巴拿馬	巴拿馬 🇵🇦
巴拿馬共和國	巴拿馬共和國 🇵🇦
祕魯	祕魯 🇵🇪
祕魯共和國	祕魯共和國 🇵🇪
法屬波利尼西亞	法屬波利尼西亞 🇵🇫
巴布亞新幾內亞	巴布亞新幾內亞 🇵🇬
巴布亞新幾內亞獨立國	巴布亞新幾內亞獨立國 🇵🇬
菲律賓	菲律賓 🇵🇭
菲律賓共和國	菲律賓共和國 🇵🇭
巴基斯坦	巴基斯坦 🇵🇰
巴基斯坦伊斯蘭共和國	巴基斯坦伊斯蘭共和國 🇵🇰
波蘭	波蘭 🇵🇱
波蘭共和國	波蘭共和國 🇵🇱
聖皮埃爾和密克隆羣島	聖皮埃爾和密克隆羣島 🇵🇲
皮特凱恩羣島	皮特凱恩羣島 🇵🇳
波多黎各	波多黎各 🇵🇷
巴勒斯坦領土	巴勒斯坦領土 🇵🇸
葡萄牙	葡萄牙 🇵🇹
葡萄牙共和國	葡萄牙共和國 🇵🇹
帕勞	帕勞 🇵🇼
帕勞共和國	帕勞共和國 🇵🇼
巴拉圭	巴拉圭 🇵🇾
巴拉圭共和國	巴拉圭共和國 🇵🇾
卡塔爾	卡塔爾 🇶🇦
卡塔爾國	卡塔爾國 🇶🇦
留尼汪	留尼汪 🇷🇪
羅馬尼亞	羅馬尼亞 🇷🇴
塞爾維亞	塞爾維亞 🇷🇸
塞爾維亞共和國	塞爾維亞共和國 🇷🇸
俄羅斯	俄羅斯 🇷🇺
俄國	俄國 🇷🇺
俄羅斯聯邦	俄羅斯聯邦 🇷🇺
盧旺達	盧旺達 🇷🇼
盧旺達共和國	盧旺達共和國 🇷🇼
沙特	沙特 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
沙特阿拉伯王國	沙特阿拉伯王國 🇸🇦
所羅門羣島	所羅門羣島 🇸🇧
塞舌爾	塞舌爾 🇸🇨
塞舌爾共和國	塞舌爾共和國 🇸🇨
蘇丹	蘇丹 🇸🇩
蘇丹共和國	蘇丹共和國 🇸🇩
瑞典	瑞典 🇸🇪
瑞典王國	瑞典王國 🇸🇪
新加坡	新加坡 🇸🇬
新加坡共和國	新加坡共和國 🇸🇬
聖赫勒拿	聖赫勒拿 🇸🇭
斯洛文尼亞	斯洛文尼亞 🇸🇮
斯洛文尼亞共和國	斯洛文尼亞共和國 🇸🇮
斯瓦爾巴和揚馬延	斯瓦爾巴和揚馬延 🇸🇯
斯洛伐克	斯洛伐克 🇸🇰
斯洛伐克共和國	斯洛伐克共和國 🇸🇰
塞拉利昂	塞拉利昂 🇸🇱
塞拉利昂共和國	塞拉利昂共和國 🇸🇱
聖馬力諾	聖馬力諾 🇸🇲
聖馬力諾共和國	聖馬力諾共和國 🇸🇲
塞內加爾	塞內加爾 🇸🇳
塞內加爾共和國	塞內加爾共和國 🇸🇳
索馬里	索馬里 🇸🇴
索馬里聯邦	索馬里聯邦 🇸🇴
索馬里聯邦共和國	索馬里聯邦共和國 🇸🇴
蘇里南	蘇里南 🇸🇷
蘇里南共和國	蘇里南共和國 🇸🇷
南蘇丹	南蘇丹 🇸🇸
南蘇丹共和國	南蘇丹共和國 🇸🇸
聖多美和普林西比	聖多美和普林西比 🇸🇹
聖多美和普林西比民主共和國	聖多美和普林西比民主共和國 🇸🇹
薩爾瓦多	薩爾瓦多 🇸🇻
薩爾瓦多共和國	薩爾瓦多共和國 🇸🇻
荷屬聖馬丁	荷屬聖馬丁 🇸🇽
聖馬丁	聖馬丁 🇸🇽
敘利亞	敘利亞 🇸🇾
敘利亞共和國	敘利亞共和國 🇸🇾
阿拉伯敘利亞共和國	阿拉伯敘利亞共和國 🇸🇾
斯威士蘭	斯威士蘭 🇸🇿
斯威士蘭王國	斯威士蘭王國 🇸🇿
特里斯坦–達庫尼亞羣島	特里斯坦–達庫尼亞羣島 🇹🇦
特里斯坦–達庫尼亞	特里斯坦–達庫尼亞 🇹🇦
特克斯和凱科斯羣島	特克斯和凱科斯羣島 🇹🇨
乍得	乍得 🇹🇩
乍得共和國	乍得共和國 🇹🇩
法屬南部領地	法屬南部領地 🇹🇫
多哥	多哥 🇹🇬
多哥共和國	多哥共和國 🇹🇬
泰國	泰國 🇹🇭
泰王國	泰王國 🇹🇭
暹羅	暹羅 🇹🇭
塔吉克斯坦	塔吉克斯坦 🇹🇯
塔吉克斯坦共和國	塔吉克斯坦共和國 🇹🇯
托克勞	托克勞 🇹🇰
東帝汶	東帝汶 🇹🇱
東帝汶民主共和國	東帝汶民主共和國 🇹🇱
土庫曼斯坦	土庫曼斯坦 🇹🇲
突尼斯	突尼斯 🇹🇳
突尼斯共和國	突尼斯共和國 🇹🇳
湯加	湯加 🇹🇴
湯加王國	湯加王國 🇹🇴
土耳其	土耳其 🇹🇷
土耳其共和國	土耳其共和國 🇹🇷
特立尼達和多巴哥	特立尼達和多巴哥 🇹🇹
特立尼達和多巴哥共和國	特立尼達和多巴哥共和國 🇹🇹
圖瓦盧	圖瓦盧 🇹🇻
臺灣	臺灣 🇹🇼
中華民國	中華民國 🇹🇼
坦桑尼亞	坦桑尼亞 🇹🇿
坦桑尼亞聯合共和國	坦桑尼亞聯合共和國 🇹🇿
烏克蘭	烏克蘭 🇺🇦
烏干達	烏干達 🇺🇬
烏干達共和國	烏干達共和國 🇺🇬
美國本土外小島嶼	美國本土外小島嶼 🇺🇲
聯合國	聯合國 🇺🇳
美國	美國 🇺🇸 🗽
美利堅	美利堅 🇺🇸
美利堅合衆國	美利堅合衆國 🇺🇸
星條旗	星條旗 🇺🇸
烏拉圭	烏拉圭 🇺🇾
烏拉圭東岸共和國	烏拉圭東岸共和國 🇺🇾
烏茲別克斯坦	烏茲別克斯坦 🇺🇿
烏茲別克斯坦共和國	烏茲別克斯坦共和國 🇺🇿
梵蒂岡	梵蒂岡 🇻🇦
梵蒂岡城國	梵蒂岡城國 🇻🇦
聖文森特和格林納丁斯	聖文森特和格林納丁斯 🇻🇨
委內瑞拉	委內瑞拉 🇻🇪
委內瑞拉玻利瓦爾共和國	委內瑞拉玻利瓦爾共和國 🇻🇪
英屬維爾京羣島	英屬維爾京羣島 🇻🇬
美屬維爾京羣島	美屬維爾京羣島 🇻🇮
越南	越南 🇻🇳
越南社會主義共和國	越南社會主義共和國 🇻🇳
瓦努阿圖	瓦努阿圖 🇻🇺
瓦努阿圖共和國	瓦努阿圖共和國 🇻🇺
瓦利斯和富圖納	瓦利斯和富圖納 🇼🇫
薩摩亞	薩摩亞 🇼🇸
薩摩亞獨立國	薩摩亞獨立國 🇼🇸
科索沃	科索沃 🇽🇰
科索沃共和國	科索沃共和國 🇽🇰
也門	也門 🇾🇪
也門共和國	也門共和國 🇾🇪
馬約特	馬約特 🇾🇹
南非	南非 🇿🇦
南非共和國	南非共和國 🇿🇦
贊比亞	贊比亞 🇿🇲
贊比亞共和國	贊比亞共和國 🇿🇲
津巴布韋	津巴布韋 🇿🇼
津巴布韋共和國	津巴布韋共和國 🇿🇼
英格蘭	英格蘭 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇬🇧
蘇格蘭	蘇格蘭 🏴󠁧󠁢󠁳󠁣󠁴󠁿
威爾士	威爾士 🏴󠁧󠁢󠁷󠁬󠁳󠁿
K歌	K歌 🪩
WIFI	WIFI 🛜
〇	〇 0️⃣ 0⃣
㖿	㖿 ✌🏻️
㞎㞎	㞎㞎 💩️ 💩
一人	一人 👤️ 👤
一個人	一個人 👤️ 👤
一分鐘	一分鐘 ☝🏻️ ☝ ☝🏻
一卷報紙	一卷報紙 🗞️ 🗞
一定	一定 🙆🏻 🙆 🙆🏻‍♀ 🙆🏻‍♂
一定女	一定女 🙆🏻‍♀️
一定男	一定男 🙆🏻‍♂️
一小撮	一小撮 🤌🏻
一小會	一小會 ☝🏻️ ☝ ☝🏻
一摞書	一摞書 📚️ 📚
一摞課本	一摞課本 📚️ 📚
一撮	一撮 🤌🏻
一束花	一束花 💐️ 💐
一碗飯	一碗飯 🍚️ 🍚
一羣人	一羣人 👥️
一邊去	一邊去 😛️ 😛
一陣間	一陣間 ☝🏻️ ☝ ☝🏻
一齊	一齊 🧑🏻‍🤝‍🧑🏻
丈夫	丈夫 🤵🏻‍♂️
框三	🈪
三分褲	三分褲 🩳
三戟叉	三戟叉 🔱️ 🔱
三文治	三文治 🥙 🥪
三點裝	三點裝 👙️ 👙
上下顛倒	上下顛倒 🙃️ 🙃
上廁所	上廁所 🚾️ 🚾
上課	上課 🧑🏻‍🏫 👨🏻‍🏫 👩🏻‍🏫
上課女	上課女 👩🏻‍🏫
上課男	上課男 👨🏻‍🏫
上頭	上頭 👆🏻️ 👆 👆🏻
下午好	下午好 🙂️ 🙂
下跪	下跪 🧎🏻 🧎‍♂ 🧎‍♀ 🧎 🧎🏻‍♂ 🧎🏼‍♂ 🧎🏽‍♂ 🧎🏾‍♂ 🧎🏿‍♂ 🧎🏻‍♀ 🧎🏼‍♀ 🧎🏽‍♀ 🧎🏾‍♀ 🧎🏿‍♀ 🧎🏼 🧎🏽 🧎🏾 🧎🏿
下跪女	下跪女 🧎🏻‍♀️
下跪男	下跪男 🧎🏻‍♂️
下載郵件	下載郵件 📩️ 📩
下頭	下頭 👇🏻️ 👇 👇🏻
不一定	不一定 😕️ 😕
不信	不信 😓️ 😳️ 😓 😳
不准	不准 🚫️ 🚫
不准吸煙	不准吸煙 🚭️ 🚭
不准吸菸	不准吸菸 🚭️
不准看	不准看 🙈️ 🙈
不准聽	不准聽 🙉️ 🙉
不准說	不准說 🙊️ 🙊
不可能	不可能 😛️ 😟️ 😛 😟
不告訴你	不告訴你 😏️ 😏
不哭	不哭 🤗️ 🤗
不喜歡	不喜歡 🥴
不女	不女 🙅🏻‍♀️
不好吧	不好吧 😰️ 😰
不好女	不好女 🙅🏻‍♀️
不好玩	不好玩 😝️ 😴️ 😝 😴
不好男	不好男 🙅🏻‍♂️
不對吧	不對吧 🤨
不幹	不幹 😝️ 🙅🏻 😝 🙅 🙅🏻‍♀ 🙅🏻‍♂
不幹女	不幹女 🙅🏻‍♀️
不幹男	不幹男 🙅🏻‍♂️
不得	不得 🚫️ 🚫
不敢聽	不敢聽 🙉️ 🙉
不敢說	不敢說 🙊️ 🙊
不是吧	不是吧 😒 😢 😥 😿 🤨
不曉得	不曉得 😲️ 😲
不會	不會 😝️ 😝
不會吧	不會吧 😟️ 😦️ 😟 😦
不會啦	不會啦 😝️ 😝
不清楚	不清楚 😲️ 🤷🏻‍♂️ 🤷‍♂ 🤷 🤷‍♀ 🤷🏻‍♂ 🤷🏼‍♂ 🤷🏽‍♂ 🤷🏾‍♂ 🤷🏿‍♂ 🤷🏻 🤷🏼 🤷🏽 🤷🏾 🤷🏿 🤷🏻‍♀ 🤷🏼‍♀ 🤷🏽‍♀ 🤷🏾‍♀ 🤷🏿‍♀ 😲
不爽	不爽 ☹️ ☹ 😕
不男	不男 🙅🏻‍♂️
不知道女	不知道女 🤷🏻‍♀️
不知道男	不知道男 🤷🏻‍♂️
不管	不管 🤷🏻 💁 🤷🏻‍♀ 🤷🏻‍♂
不管女	不管女 🤷🏻‍♀️
不管男	不管男 🤷🏻‍♂️
不能看	不能看 🙈️ 🙈
不能聽	不能聽 🙉️ 🙉
不行女	不行女 🙅🏻‍♀️
不行男	不行男 🙅🏻‍♂️
不要	不要 😣️ 😣
不要怕	不要怕 🤗️ 🤗
不見	不見 😣️ 😣
不許看	不許看 🙈️ 🙈
不許聽	不許聽 🙉️ 🙉
不許說	不許說 🙊️ 🙊
不說了	不說了 🫢 😷 🤭
不講	不講 🤐️ 🤐
不通	不通 ⛔️ 🚧️ ⛔ 🚧
不錯啊	不錯啊 😀️ 😺️ 😀 😺
不關我事	不關我事 🤷🏻 💁 🤷🏻‍♀ 🤷🏻‍♂
不關我事女	不關我事女 🤷🏻‍♀️
不關我事男	不關我事男 🤷🏻‍♂️
世界	世界 🌐️ 🗺 🌐
両替	両替 💱️ 💱
並肩	並肩 🧑🏻‍🤝‍🧑🏻
中午好	中午好 🙂️ 🙂
中國大陸	中國大陸 🇨🇳
中學	中學 🏫️ 🏫
中產	中產 🧑🏻‍💼
中產女	中產女 👩🏻‍💼
中產男	中產男 👨🏻‍💼
中等白方	中等白方 ◻️ ◽ ◽️
中等黑方	中等黑方 ◼️ ◾ ◾️
串燒	串燒 🍢️ 🍢
丸子	丸子 🍡️ 🍡
主廚	主廚 🧑🏻‍🍳 👨🏻‍🍳 👩🏻‍🍳
主廚女	主廚女 👩🏻‍🍳
主廚男	主廚男 👨🏻‍🍳
主意	主意 💭️ 💭
乒乓	乒乓 🏓️ 🏓
乖	乖 😬️ 😬
乖孩子	乖孩子 🤓️ 🤓
九枝燈台	九枝燈台 🕎️
九枝燈臺	九枝燈臺 🕎️ 🕎
也就這樣	也就這樣 😪️ 😪
乳	乳 🥛
乳酪	乳酪 🧀
亂噏	亂噏 🤥
五弦琴	五弦琴 🪕
五指	五指 🖐🏻️ 🖐 🖐🏻
五絃琴	五絃琴 🪕
亞塞拜然	亞塞拜然 🇦🇿
亞森欣	亞森欣 🇸🇭
亞軍	亞軍 🥈
享受	享受 ☺️ ☺
亮蛋	亮蛋 🧑🏻‍🦲 👨🏻‍🦲 👩🏻‍🦲
亮蛋女	亮蛋女 👩🏻‍🦲
亮蛋男	亮蛋男 👨🏻‍🦲
人工智能	人工智能 🤖️ 🤖
人造衛星	人造衛星 🛰️ 🛰
人魚女	人魚女 🧜🏻‍♀️
人魚男	人魚男 🧜🏻‍♂️
仔	仔 🧒🏻
仔細	仔細 🧐
他	他 👤️ 👤
他們	他們 👥️ 👥
仙人	仙人 🧚🏻 🧚🏻‍♀ 🧚🏻‍♂
仙人女	仙人女 🧚🏻‍♀️
仙人男	仙人男 🧚🏻‍♂️
仙女	仙女 🧚🏻‍♀️ 🧚🏻‍♀
仙女棒	仙女棒 🎇️ 🎇
仙子	仙子 🧚🏻‍♂️ 🧚🏻‍♂
仲秋	仲秋 🌕️ 🎑️ 🌕 🎑
企	企 🧍🏻 ㊭ ㈽
企女	企女 🧍🏻‍♀️
企男	企男 🧍🏻‍♂️
伊斯蘭	伊斯蘭 ☪️ ☪
伊斯蘭教	伊斯蘭教 ☪️ ☪
休息	休息 😑️ ♨ 😑
休旅車	休旅車 🚙️ 🚙
估吓	估吓 😏️ 😏
低溫	低溫 🥶
低音量	低音量 🔉️ 🔉
住宅區	住宅區 🏘️ 🏘
住宿	住宿 🛌🏻️ 🛌 🛌🏻
住店	住店 🛌🏻️ 🛌 🛌🏻
佛堂	佛堂 🛐️ 🛐
佛殿	佛殿 🛐️ 🛐
佛珠	佛珠 📿️ 📿
作弄	作弄 😜️ 😜
作曲	作曲 🎼️ 🎼
你	你 🫵🏻
你也是	你也是 😏️ 😼️ 😏 😼
你大爺	你大爺 🤬
你妹	你妹 🤬 😤
你媽	你媽 🤬
你媽屄	你媽屄 🤬
你猜	你猜 😏️ 😼️ 😏 😼
來郵件	來郵件 📨️ 📨
便條	便條 📝️ 📝
便餐	便餐 🥡
保齡	保齡 🎳️ 🎳
信	信 ✉️ 💌 ✉
信你有鬼	信你有鬼 😒️ 😒
倒	倒 🤒️ 🫗 🤒
倒帶	倒帶 ⏪️ ⏪
倒彩	倒彩 🖕🏻️ 🖕 🖕🏻
倒掛列車	倒掛列車 🚟️ 🚟
倒楣	倒楣 😫️ 😫
倒水	倒水 🫗
假肢	假肢 🦾 🦿
假面	假面 🎭️ 🥸 🎭
做夢	做夢 💭️
禮拜	禮拜 🛐️
做禮拜	做禮拜 🛐️ ⛪ 🛐
停	停 ⛔️ 🛑 ✋ ✋🏻 ✋🏼 ✋🏽 ✋🏾 ✋🏿 ⛔
停止播放	停止播放 ⏹️ ⏹
偵探女	偵探女 🕵🏻‍♀️
偵探男	偵探男 🕵🏻‍♂️
偷瞄	偷瞄 🫣
